Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
88,Swifts,Apodidae,Vaux's Swift,Chaetura vauxi,12cm,"Call softer, higher, and more insectlike than Chimney Swift.",,
88,Swifts,Apodidae,Chimney Swift,Chaetura pelagica,13cm,"Chattering call louder, lower-pitched than Vaux's Swift.",,
90,Swifts,Apodidae,White-collared Swift,Streptoprocne zonaris,22cm,NA,,
90,Swifts,Apodidae,White-throated Needletail,Hirundapus caudacutus,20cm,NA,,
90,Swifts,Apodidae,Common Swift,Apus apus,17cm,NA,,
90,Swifts,Apodidae,Fork-tailed Swift,Apus pacificus,20cm,NA,,
92,Hummingbirds,Trochilidae,Mexican Violetear,Colibri thalassinus,11cm,"Sog a repeated, often incessant ""tsip tsup"" with other notes mixed in; often given from a perch.",,
92,Hummingbirds,Trochilidae,Green-breasted Mango,Anthracothorax prevostii,12cm,"Usually silent. Gives hard ticking chip notes, often in a series of higher ""sip"" calls in flight.",,
92,Hummingbirds,Trochilidae,Lucifer Hummingbird,Calothorax lucifer,10cm,"Call a hard, rich ""chih"", sometimes doubled; rapid series of notes in chases.",,
94,Hummingbirds,Trochilidae,Magnificent Hummingbird,Eugenes fulgens,13cm,"Call a sharp ""chip""; gives other squeaky notes.",,
94,Hummingbirds,Trochilidae,Blue-throated Hummingbird,Lampornis clemenciae,13cm,"Call a loud, high, repeated ""seep"". Song of male given from a perch is a long, continuous series of ""seep"" notes.",,
94,Hummingbirds,Trochilidae,Plain-capped Starthroat,Heliomaster constantii,13cm,"Call a sharp ""chip"", reminiscent of Black Phoebe. Male's song delivered from a conspicuous perch, a series of sharp ""chip"" notes with other notes interspersed.",,
96,Hummingbirds,Trochilidae,Ruby-throated Hummingbird,Archilochus colubris,9cm,"Call a soft ""tchew""; sometimes mixed with squeals in chases. Adult males give a soft wing hum.",,
96,Hummingbirds,Trochilidae,Black-chinned Hummingbird,Archilochus alexandri,9cm,"All calls like Ruby-throated, including the soft ""tchew"".",,
96,Hummingbirds,Trochilidae,Costa's Hummingbird,Calypte costae,8cm,"Call is a high-pitched metallic ""tink"", often given in a series. Male's call is a loud ""zing"" usually heard during circular flight display.",,
98,Hummingbirds,Trochilidae,Anna's Hummingbird,Calypte ana,10cm,"Common call note a sharp ""chick""; chase call a rapid, dry rattling. Male's song a jumble of high squeaks and raspy notes. Male rises slowly in display and then dives steeply giving a sharp ""tweek"" (produced by outermost tail feather) at bottom and rising again for repeat performance.",,
98,Hummingbirds,Trochilidae,Broad-billed Hummingbird,Cynanthus latirostris,10cm,"Chattering ""je-dit"" call is similar to Ruby-crowned Kinglet. Male's display call is a whining ""zing"".",,
98,Hummingbirds,Trochilidae,White-eared Hummingbird,Hylocharis leucotis,10cm,"Chattering calls are loud and metallic. Male's display call a repeated, silvery ""tink tink tink"".",,
100,Hummingbirds,Trochilidae,Bahama Woodstar,Calliphlox evelynae,9cm,Calls suggestive of Anna's Hummingbird.,,
100,Hummingbirds,Trochilidae,Calliope Hummingbird,Selasphorus calliope,8cm,"Relatively silent. Gives soft, high-pitched, metallic ""chip"" notes. Adult males produce buzzy ""bzzt"" calls in display dives.",,
100,Hummingbirds,Trochilidae,Broad-tailed Hummingbird,Selasphorus platycercus,10cm,"Except during winter molt, adult male's modified outer primary tips produce a loud, cricketlike trill in flight. Calls include a metallic ""chip"", different from Rufous and Allen's.",,
102,Hummingbirds,Trochilidae,Rufous Hummingbird,Selasphorus rufus,9cm,"Buzzy wing trill of adult male and all calls essentially identical to Allen's. Calls include a ""chip"", often given in a series (less metallic than Broad-tailed); chase note, ""zeee-chuppity-chup"", is a constant sound around feeders where Rufous or Allen's dominates.",,
102,Hummingbirds,Trochilidae,Allen's Hummingbird,Selasphorus sasin,10cm,All call notes and adult male wing buzz similar to Rufous.,,
104,Hummingbirds,Trochilidae,Berylline Hummingbird,Amazilia beryllina,10cm,"Hard buzzy ""dzzrit"". Song of male is a squeaky complex warbling with chip notes.",,
104,Hummingbirds,Trochilidae,Buff-bellied Hummingbird,Amazilia yucatanensis,10cm,"Gives a sharp ""tschick"" as well as other shrill and squeaky notes.",,
104,Hummingbirds,Trochilidae,Violet-crowned Hummingbird,Amazilia violiceps,11cm,"Call a loud, squeaky chattering; male's song a series of sibilant ""ts"" notes.",,
104,Limpkin,Aramidae,Limpkin,Aramus guarauna,66cm,"Call, heard chiefly at night, is a wailing ""krr-oww"".",,
106,Rails,Rallidae,Yellow Rail,Coturnicops noveboracensis,18cm,"Distinctive call, heard chiefly in breeding season, is a four- or five-note ""tick-tick, tick-tick-tick"" in alternate twos or twos and threes, sounds like tapping two pebbles together.",,
106,Rails,Rallidae,Black Rail,Laterallus jamaicensis,15cm,"Most vocal in the middle of the night. Distinctive song heard chiefly in breeding season, is a repeated ""kik-kee-do"" or ""kik-kee-derr""; sometimes four notes: ""kik-kik-kee-do"". Also gives a fast sputtering trill and growling notes.",,
106,Rails,Rallidae,Sora,Porzana carolina,22cm,"Calls heard year-round are a descending whinny and a sharp high-pitched ""keek""; a whistled ""ker-wheer"" is heard mainly on breeding grounds.",,
106,Rails,Rallidae,Corn Crake,Crex crex,27cm,NA,,
108,Rails,Rallidae,Ridgway's Rail,Rallus obsoletus,39cm,"Presumably like Clapper, but no comparative studies.",,
108,Rails,Rallidae,Clapper Rail,Rallus crepitans,37cm,"Call is a series of 10 or more dry ""kek kek kek"" notes, like King but accelerating and then slowing. Some calls are nearly identical to King.",,
108,Rails,Rallidae,King Rail,Rallus elegans,38cm,"As wih Clapper, most often heard at dusk and dawn. Usually distinctive call is a series of fewer than 10 ""kek kek kek"" notes, fairly evenly spaced; tempo slower than Clapper. Also a series of grunting notes.",,
