Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
246,Storks,Ciconiidae,Jabiru,Jabiru mycteria,"132cm, 229cm",NA,,
246,Frigatebirds,Fregatidae,Magnificent Frigatebird,Fregata magnificens,"102cm, 229cm",NA,,
248,Boobies,Sulidae,Masked Booby,Sula dactylatra,"81cm, 157cm",NA,,
248,Boobies,Sulidae,Nazca Booby,Sula granti,"81cm, 157cm",NA,,
248,Boobies,Sulidae,Northern Gannet,Morus bassanus,"94cm, 183cm",NA,,
250,Boobies,Sulidae,Blue-footed Booby,Sula nebouxii,"81cm, 157cm",NA,,
250,Boobies,Sulidae,Brown Booby,Sula leucogaster,"76cm, 145cm",NA,,
250,Boobies,Sulidae,Red-footed Booby,Sula sula,"71cm, 152cm",NA,,
252,Cormorants,Phalacrocoracidae,Great Cormorant,Phalacrocorax carbo,"91cm, 160cm",NA,,
252,Cormorants,Phalacrocoracidae,Neotropic Cormorant,Phalacrocorax brasilianus,"66cm, 102cm",NA,,
252,Cormorants,Phalacrocoracidae,Double-crested Cormorant,Phalacrocorax auritus,"81cm, 132cm",NA,,
254,Cormorants,Phalacrocoracidae,Brandt's Cormorant,Phalacrocorax penicillatus,"89cm, 122cm",NA,,
254,Cormorants,Phalacrocoracidae,Pelagic Cormorant,Phalacrocorax pelagicus,"66cm, 99cm",NA,,
254,Cormorants,Phalacrocoracidae,Red-faced Cormorant,Phalacrocorax urile,"79cm, 117cm",NA,,
256,Darters,Anhingidae,Anhinga,Anhinga anhinga,"89cm, 114cm",Mostly silent; may give occasional croaks and rattles.,,
256,Pelicans,Pelecanidae,American White Pelican,Pelecanus eryhrorhynchos,"157cm, 274cm",NA,,
256,Pelicans,Pelecanidae,Brown Pelican,Pelecanus occidentalis,"122cm, 213cm",NA,,
258,Herons/Bitterns/Allies,Ardeidae,American Bittern,Botaurus lentiginosus,"71cm, 107cm","Distinctive spring (sings on winter grounds before departing) and early summer song, ""oonk-a-lunk"", is most often heard at dusk in dense marsh reeds.",,
258,Herons/Bitterns/Allies,Ardeidae,Least Bittern,Ixobrychus exilis,"33cm, 43cm","Calls include a series of harsh ""kek"" notes delivered year-round, which, when learned, is often the best means of detection; song, a softer series of ""ku"" notes, is heard only on the breeding grounds.",,
258,Herons/Bitterns/Allies,Ardeidae,Great Blue Heron,Ardea herodias,"117cm, 183cm",Occasional deep croaks.,,
260,Herons/Bitterns/Allies,Ardeidae,Cattle Egret,Bubulcus ibis,"51cm, 91cm","Mostly silent. During display, male produces soft ticking and popping sounds.",,
260,Herons/Bitterns/Allies,Ardeidae,Snowy Egret,Egretta thula,"61cm, 104cm","Low, raspy note, mostly at nest site.",,
260,Herons/Bitterns/Allies,Ardeidae,Little Egret,Egretta garzetta,"61cm, 91cm",NA,,
260,Herons/Bitterns/Allies,Ardeidae,Great Egret,Ardea alba,"99cm, 130cm",Occasional deep croaks.,,
262,Herons/Bitterns/Allies,Ardeidae,Tricolored Heron,Egretta tricolor,"66cm, 91cm",Mostly silent; some low croaking at nest site.,,
262,Herons/Bitterns/Allies,Ardeidae,Little Blue Heron,Egretta caerulea,"61cm, 102cm","Mostly silent; some low croaking and squawking, mostly at nest site.",,
262,Herons/Bitterns/Allies,Ardeidae,Reddish Egret,Egretta rufescens,"76cm, 117cm",Mostly silent; low grunts at nest site.,,
264,Herons/Bitterns/Allies,Ardeidae,Green Heron,Butorides virescens,"46cm, 66cm","Common call is a loud, sharp ""kyowk"".",,
264,Herons/Bitterns/Allies,Ardeidae,Green Heron,Nycticorax nycticorax,"64cm, 112cm","Calls include a low, harsh ""woc"", which is more guttural than Yellow-crowned.",,means Yellow-crowned Night-Heron here
264,Herons/Bitterns/Allies,Ardeidae,Green Heron,Nyctanassa violacea,"61cm, 107cm","Calls include a short ""woc"", which is higher and less harsh than the Black-crowned.",,means Black-crowned Night-Heron here
266,Ibises/Spoonbills,Threskiornithidae,Glossy Ibis,Plegadis falcinellus,"58cm, 91cm",Low grunts.,,
266,Ibises/Spoonbills,Threskiornithidae,White-faced Ibis,Plegadis chihi,"58cm, 91cm",Like Glossy Ibis.,,
266,Ibises/Spoonbills,Threskiornithidae,White Ibis,Eudocimus albus,"64cm, 97cm",Occasional low grunts.,,
266,Ibises/Spoonbills,Threskiornithidae,Roseate Spoonbill,Platalea ajaja,"81cm, 127cm",Mostly silent; occasional low grunts.,,
268,New World Vultures,Cathartidae,Turkey Vulture,Cathartes aura,"69cm, 175cm",NA,,
268,New World Vultures,Cathartidae,Black Vulture,Coragyps atratus,"64cm, 145cm",NA,,
268,New World Vultures,Cathartidae,California Condor,Gymnogyps californianus,"119cm, 274cm",NA,,
270,Ospey,Pandionidae,Osprey,Pandion haliaetus,"54-64cm, 147-183cm","Call is a series of loud, whistled ""kyew"" notes.",,
270,Hawks/Kites/Eagles/Allies,Accipitridae,Snail Kite,Rostrhamus sociabilis,"43cm, 117cm",Mostly silent; occasionally a nasal grating sound.,,
270,Hawks/Kites/Eagles/Allies,Accipitridae,Hook-billed Kite,Chondrohierax uncinatus,"46cm, 91cm",Loud rattling notes given near nest when disturbed and in courtship.,,
272,Hawks/Kites/Eagles/Allies,Accipitridae,Mississippi Kite,Ictinia mississippiensis,"37cm, 89cm","Downward whistle, given mainly on breeding grounds.",,
272,Hawks/Kites/Eagles/Allies,Accipitridae,White-tailed Kite,Elanus leucurus,"41cm, 107cm",Calls include various whistled notes.,,
272,Hawks/Kites/Eagles/Allies,Accipitridae,Swallow-tailed Kite,Elanoides forficatus,"58cm, 122cm",Mostly silent.,,
274,Hawks/Kites/Eagles/Allies,Accipitridae,Golden Eagle,Aquila chrysaetos,"76-102cm, 203-224cm","A rather faint and thin ""kee-yep"" or ""yep"", sometimes in a series; usually silent away from nesting area.",,
274,Hawks/Kites/Eagles/Allies,Accipitridae,Bald Eagle,Haliaeetus leucocephalus,"79-94cm, 178-229cm","A variety of calls including a series of high-pitched twitterings or whistles, often delivered in a staggered rhythm.",,
276,Hawks/Kites/Eagles/Allies,Accipitridae,White-tailed Eagle,Haliaeetus albicilla,"66-89cm, 183-239cm",NA,,
276,Hawks/Kites/Eagles/Allies,Accipitridae,Steller's Sea-Eagle,Haliaeetus pelagicus,"84-104cm, 221-244cm",NA,,
276,Hawks/Kites/Eagles/Allies,Accipitridae,Northern Harrier,Circus cyaneus,"41-51cm, 97-122cm","Occasionally gives a high, downslurred call; also a series of ""keee"" notes when agitated.",,
278,Hawks/Kites/Eagles/Allies,Accipitridae,Sharp-shinned Hawk,Accipiter striatus,"25-26cm, 51-71cm","Mostly silent, except around nest. Adults give a single, sharp passerine-like note; juveniles give a high-pitched call.",,
278,Hawks/Kites/Eagles/Allies,Accipitridae,Cooper's Hawk,Accipiter cooperii,"36-51cm, 74-94cm","Most notes with a nasal quality, include a series of ""kek"" notes. Juveniles give a squeaky whistle.",,
278,Hawks/Kites/Eagles/Allies,Accipitridae,Northern Goshawk,Accipiter gentilis,"53-66cm, 102-117cm","Calls include a loud, wailing ""kee-ah"", more plaintive in juvenile, and a loud series of single notes.",,
280,Hawks/Kites/Eagles/Allies,Accipitridae,Common Black Hawk,Buteogallus anthracinus,"53cm, 127cm","Call is a series of loud whistles, falling in intensity near end.",,
280,Hawks/Kites/Eagles/Allies,Accipitridae,Harris's Hawk,Parabuteo unicinctus,"53cm, 117cm","Call is a long, harsh, grating ""eeaarr"".",,
280,Hawks/Kites/Eagles/Allies,Accipitridae,Zone-tailed Hawk,Buteo albonotatus,"51cm, 130cm","Gives a loud screaming call, not too different from Red-tailed, but more of a whistle and less harsh, especially at end.",,means Red-tailed Hawk here
282,Hawks/Kites/Eagles/Allies,Accipitridae,Broad-winged Hawk,Buteo platypterus,"41cm, 86cm","Call, heard on breeding and winter grounds, is a thin, shrill, slightly descending whistle: ""pee-teee"".",,
282,Hawks/Kites/Eagles/Allies,Accipitridae,Red-shouldered Hawk,Buteo lineatus,"38-48cm, 94-107cm","Call is an evenly spaced series of clear, high ""kee-ah"" or ""kah"" notes.",,
284,Hawks/Kites/Eagles/Allies,Accipitridae,Roadside Hawk,Rupornis magnirostris,"36cm, 75cm","In U.S., birds have been silent, but in Mexico, where common in many places, one of the Roadside's characteristic sounds is a drawn-out, complaining scream, delivered from a perch.",,
284,Hawks/Kites/Eagles/Allies,Accipitridae,Gray Hawk,Buteo plagiatus,"43cm, 89cm","Calls include a loud, descending whistle.",,
284,Hawks/Kites/Eagles/Allies,Accipitridae,Short-tailed Hawk,Buteo brachyurus,"39cm, 89cm","Generally silent, especially in nonbreeding season. Has a high-pitched, drawn-out, slightly descending, two-syllable call.",,
286,Hawks/Kites/Eagles/Allies,Accipitridae,Swainson's Hawk,Buteo swainsoni,"53cm, 132cm","A drawn-out scream, usually heard near nest site.",,
286,Hawks/Kites/Eagles/Allies,Accipitridae,White-tailed Hawk,Geranoaetus albicaudatus,"51cm, 130cm",Rarely heard except when disturbed at nest site.,,
286,Hawks/Kites/Eagles/Allies,Accipitridae,Ferruginous Hawk,Buteo regalis,"58cm, 142cm","Gives harsh alarm calls, ""kree-a"", chiefly in breeding season.",,
288,Hawks/Kites/Eagles/Allies,Accipitridae,Rough-legged Hawk,Buteo lagous,"53cm, 135cm","During breeding season, gives a soft, plaintive courting whistle. Alarm call is a loud screech or squeal.",,
288,Hawks/Kites/Eagles/Allies,Accipitridae,Red-tailed Hawk,Buteo jamaicensis,"56cm, 127cm","Distinctive call is a harsh, descending ""keeeeer"".",,
294,Owls,Tytonidae and Strigidae,Barn Owl,Tyto alba,41cm,"Typical call is a raspy, hissing screech often given in flight.",,
294,Owls,Tytonidae and Strigidae,Long-eared Owl,Asio otus,38cm,"Generally silent except during breeding season. Common call is one or more long ""hooo"" notes.",,
294,Owls,Tytonidae and Strigidae,Short-eared Owl,Asio flammeus,38cm,"Typical call is a raspy, high barking.",,
294,Owls,Tytonidae and Strigidae,Great Horned Owl,Bubo virginianus,56cm,"Call is a series of three to eight loud, deep hoots; second and third hoots often short and rapid. Juveniles give a raspy begging call.",,
296,Owls,Tytonidae and Strigidae,Barred Owl,Strix varia,53cm,"Distinctive call is a rhythmic series of loud hoots: *who-cooks-for-you, who-cooks-for-you-all*; also a drawn-out ""hoo-ah"", sometimes preceded by an ascending agitated barking. Much more likely than most other owls to be heard in daytime; often a pair call back and forth.",,
296,Owls,Tytonidae and Strigidae,Great Gray Owl,Strix nebulosa,69cm,"Call is a series of deep, resonant ""whoo"" notes.",,
296,Owls,Tytonidae and Strigidae,Spotted Owl,Strix occidentalis,46cm,"Main call is a series of four doglike barks; contact call, given mainly by females, is a hollow, upslurred whistle, ""coooo-weep"".",,
296,Owls,Tytonidae and Strigidae,Snowy Owl,Bubo scandiacus,58cm,Mostly silent away from breeding grounds.,,
298,Owls,Tytonidae and Strigidae,Eastern Screech-Owl,Megascops asio,22cm,"Two typical calls: a series of quavering whistles or a whinny, descending in pitch; and a long, uninterrupted trill on one pitch. Whinny call seldom given by 'mccallii', but when given, it is shorter; the longer trill is also different (pitched higher, rhythm changes).",,
298,Owls,Tytonidae and Strigidae,Western Screech-Owl,Megascops kennicottii,22cm,Two common calls: a series of short whistles accelerating in tempo; and a short trill followed immediately by a longer trill. Both often follow a series of agitated barking notes.,,
298,Owls,Tytonidae and Strigidae,Whiskered Screech-Owl,Megascops trichopsis,"18cm, 41cm","Two common calls: a series of short whistles on one pitch and at a fairly even tempo; and a series of very irregular hoots, like Morse code.",,
298,Owls,Tytonidae and Strigidae,Flammulated Owl,Psiloscops flammeolus,17cm,"A series of single or paired low, hoarse, hollow hoots.",,
298,Owls,Tytonidae and Strigidae,Elf Owl,Micrathene whitneyi,15cm,"Call an irregular series of high ""churp"" notes and chattering notes.",,
300,Owls,Tytonidae and Strigidae,Northern Pygmy-Owl,Glaucidium gnoma,17cm,"Call is a mellow, whistled ""hoo"", repeated in a well-spaced series, a little faster in interior 'pinicola' group; also gives a rapid series of ""hoo"" or ""took"" notes followed by a single ""took"". Nominate ssp., 'gnoma', see from southeastern AZ south through the mountains of Mexico, gives a series of double ""took-took"" notes with occasional single notes interspersed. Considered by some to be a separate species, 'Mountain Pygmy-Owl', though no marked genetic differences.",,
300,Owls,Tytonidae and Strigidae,Ferruginous Pygmy-Owl,Glaucidium brasilianum,17cm,"Most common whistled call is a rapid, repeated ""took"".",,
300,Owls,Tytonidae and Strigidae,Northern Hawk Owl,Surnia ulula,41cm,Mostly silent away from nesting sites. Gives a series of rapid whistled notes at night. Also various whistled and screeching notes.,,
300,Owls,Tytonidae and Strigidae,Burrowing Owl,Athene cunicularia,24cm,"Calls include soft ""coo-coooo"" and chattering series of ""chack"" notes.",,
302,Owls,Tytonidae and Strigidae,Northern Saw-whet Owl,Aegolius acadicus,20cm,"Territorial call, heard primarily in breeding season from late winter to late spring, is a monotonously repeated single-note whistle. Also gives a rising screech and a nightmarish wail note.",,
302,Owls,Tytonidae and Strigidae,Boreal Owl,Aegolius funereus,25cm,"Call, heard late winter to midspring, is a short, rapid series of hollow ""hoo"" notes, like sound made by Wilson's Snipe in flight display.",,
302,Trogons,Trogonidae,Elegant Trogon,Trogon elegans,32cm,"Song is a series of croaking ""co-ah"" notes; other variations as well.",,
302,Trogons,Trogonidae,Eared Quetzal,Euptilotis nexenus,36cm,"Calls include a loud upslurred squeal ending in a ""chuck"" note; also a loud, hard cackling, usually given in flight when disturbed. Male's song is a long, quavering series of whistled notes that increase in volume.",,
304,Kingfisher,Alcedinidae,Belted Kingfisher,Megaceryle alcyon,33cm,"Call is a loud, dry rattle.",,
304,Kingfisher,Alcedinidae,Ringed Kingfisher,Megaceryle torquata,41cm,"Calls include a harsh rattle, lower and slower than Belted Kingfisher; also a single ""chack"" note, like Great-tailed Grackle, given chiefly in flight.",,
304,Kingfisher,Alcedinidae,Green Kingfisher,Chloroceryle americana,22cm,"One call, a faint but sarp ""tick tick"", often ends in a short rattle; another, a squeaky ""cheep"", is given in flight.",,
306,Woodpeckers,Picidae,Red-headed Woodpecker,Melanerpes erythrocephalus,23cm,"In breeding season utters a loud ""queark"", similar to Red-bellied Woodpecker (p. 308) but harsher, sharper, and higher pitched; call, given year-round, is a soft, guttural rattle.",,
306,Woodpeckers,Picidae,Acorn Woodpecker,Melanerpes formicivorus,23cm,"Most frequent call, ""waka"", usually repeated several times.",,
306,Woodpeckers,Picidae,Lewis's Woodpecker,Melanerpes lewis,27cm,"Usually silent. A single squeaky, sharp ""chip"" is given in interactions with other birds. Most vocal on breeding grounds.",,
308,Woodpeckers,Picidae,Golden-fronted Woodpecker,Melanerpes aurifrons,25cm,"Calls, a rolling ""churr-churr"" and cackling ""kek-kek"", are slightly louder and raspier than Red-bellied.",,means Red-bellied Woodpecker here
308,Woodpeckers,Picidae,Red-bellied Woodpecker,Melanerpes carolinus,23cm,"Call, a rolling ""churr"", given in a series during breeding season, or ""chiv-chiv"", is slightly softer than Golden-fronted.",,means Golden-fronted Woodpecker here
308,Woodpeckers,Picidae,Gila Woodpecker,Melanerpes uropygialis,23cm,"Calls, a rolling ""churr"" and a loud, sharp, high-pitched ""yip"", often given in a series.",,
308,Woodpeckers,Picidae,Williamson's Sapsucker,Sphyrapicus thyroideus,23cm,"Gives a harsh, shrill raptorlike call.",,
310,Woodpeckers,Picidae,Red-breasted Sapsucker,Sphyrapicus ruber,22cm,"Gives a querulous, descending mewing call.",,
310,Woodpeckers,Picidae,Yellow-bellied Sapsucker,Sphyrapicus varius,22cm,"Gives a querulous, descending mewing call.",,
310,Woodpeckers,Picidae,Red-naped Sapsucker,Sphyrapicus nuchalis,22cm,"Gives a querulous, descending mewing call.",,
312,Woodpeckers,Picidae,Nuttall's Woodpecker,Picoides nuttallii,19cm,"Call is a low, rattled ""prrrt"", much lower tha Ladder-backed's ""pik""; also gives a series of loud and screeching, spaced, descending notes.",,
312,Woodpeckers,Picidae,White-headed Woodpecker,Picoides albolarvatus,23cm,"Calls include a sharp, double ""pee-dink"" or ""pee-dee-dink"".",,
312,Woodpeckers,Picidae,Ladder-backed Woodpecker,Picoides scalaris,18cm,"Call is a crisp ""pik"", very similar to Downy Woodpecker but different from the rattled ""prrrt"" given by Nuttall's; also a descending whinny.",,means Nuttall's Woodpecker here
312,Woodpeckers,Picidae,Arizona Woodpecker,Picoides arizonae,19cm,"Call is a sharp ""peek"", similar to Hairy Woodpecker but hoarser.",,
314,Woodpeckers,Picidae,Hairy Woodpecker,Picoides villosus,23cm,"Calls include a loud, sharp ""peek"" and a slurred whinny.",,
314,Woodpeckers,Picidae,Downy Woodpecker,Picoides pubescens,17cm,"Call, ""pik"", and whinny are softer and higher pitched than Hairy.",,means Hairy Woodpecker here
314,Woodpeckers,Picidae,Red-cockaded Woodpecker,Picoides borealis,22cm,"Distinctive calls, a raspy ""sripp"" and a high-pitched ""tsick"", are much more buzzy; recall a loud Brown-headed Nuthatch.",,
314,Woodpeckers,Picidae,Great Spotted Woodpecker,Dendrocopos major,23cm,"Call is a sharp ""kick"".",,
316,Woodpeckers,Picidae,Black-backed Woodpecker,Picoides arcticus,24cm,"Call note is a single, sharp ""pik"", lower pitched and louder than American Three-toed. Drum is low and deep and sound carries far.",,means American Three-toed Woodpecker here
316,Woodpeckers,Picidae,American Three-toed Woodpecker,Picoides dorsalis,22cm,"Call is a soft ""pik"" or ""kimp"". Drumming becomes slightly faster and weaker toward end.",,
316,Woodpeckers,Picidae,Northern Flicker,Colaptes auratus,32cm,"Call heard on the breeding ground is a long, loud series of ""wick-er"" notes; a single, loud ""klee-yer"" is given year-round.",,
316,Woodpeckers,Picidae,Gilded Flicker,Colaptes chrysoides,29cm,Call are like Northern.,,means Northern Flicker here
318,Woodpeckers,Picidae,Ivory-billed Woodpecker,Campephilus principalis,50cm,"Distinctive call note sounds like a toy trumpet: a high-pitched, nasal ""yank"", given singly or in short series, like a loud version of the call of eastern White-breasted Nuthatch, but beware of Blue Jays giving similar calls; double-rap drum is characteristic of genus Campephilus.",,
318,Woodpeckers,Picidae,Pileated Woodpecker,Dryocopus pileatus,42cm,"Call is a loud ""wuck"" note or series of notes, given all year, often in flight; similar call of Northern Flicker is given only in the breeding season. Loud, resonant drumming given most frequently by male.",,
320,Caracaras/Falcons,Falconidae,Eurasian Hobby,Falco subbuteo,"31cm, 77cm",NA,,
320,Caracaras/Falcons,Falconidae,Aplomado Falcon,Falco femoralis,"38-42cm, 102-122cm","Call is a series of ""kek"" notes.",,
320,Caracaras/Falcons,Falconidae,Crested Caracara,Caracara cheriway,"58cm, 127cm","Calls include a low rattle and a single ""wuck"" note.",,
322,Caracaras/Falcons,Falconidae,American Kestrel,Falco sparverius,"27cm, 58cm","Call is a shrill ""killy killy killy"".",,
322,Caracaras/Falcons,Falconidae,Eurasian Kestrel,Falco tinnunculus,"34cm, 74cm",NA,,
322,Caracaras/Falcons,Falconidae,Merlin,Falco columbarius,"30cm, 64cm","Silent except near nest site, where it gives shrill notes.",,
324,Caracaras/Falcons,Falconidae,Prairie Falcon,Falco mexicanus,"39-50cm, 89-109cm",Calls are higher tha Peregrine. Largely silent away from nest.,,means Peregrine Falcon here
324,Caracaras/Falcons,Falconidae,Peregrine Falcon,Falco peregrinus,"41-51cm, 91-112cm","Gives harsh ""cack"" notes when agitated at nest site.",,
324,Caracaras/Falcons,Falconidae,Gyrfalcon,Falco rusticolus,"51-64cm, 127-163cm","Gives harsh ""cack"" notes when agitated at nest site.",,
326,Old World Parrots,Psittaculidae,Budgerigar,Melopsittacus undulatus,18cm,Gives a continuous pleasant warble and sharper chattering calls.,,
326,Old World Parrots,Psittaculidae,Rose-ringed Parakeet,Psittacula krameri,40cm,"Call is a loud, flickerlike ""kew"".",,
326,Old World Parrots,Psittaculidae,Rosy-faced Lovebird,Agapornis roseicollis,16cm,"Gives a short high-pitched ""shreek"", singly or in a series.",,
326,African and New World Parrots,Psittacidae,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,41cm,"Loud, laughing calls carry far.",,
326,African and New World Parrots,Psittacidae,Chestnut-fronted Macaw,Ara severus,46cm,Gives harsh and grinding screeches.,,
328,African and New World Parrots,Psittacidae,White-winged Parakeet,Brotogeris versicolurus,22cm,"Like Yellow-chevroned, but perhaps richer, less shrill.",,means Yellow-chevroned Parakeet here
328,African and New World Parrots,Psittacidae,Yellow-chevroned Parakeet,Brotogeris chiriri,22cm,"A high and rather shrill ""krere-krere"" or ""chiri-chiri"", given most often in flight.",,
328,African and New World Parrots,Psittacidae,Monk Parakeet,Myiopsitta monachus,29cm,"Call is a loud, grating ""krii"".",,
328,African and New World Parrots,Psittacidae,Nanday Parakeet,Aratinga nenday,35cm,Gives high and loud screeching notes.,,
328,African and New World Parrots,Psittacidae,Blue-crowned Parakeet,Thectocercus acuticaudatus,36cm,"Gives a loud, low, hoarse repeated ""cheeeah"" note.",,
330,African and New World Parrots,Psittacidae,White-eyed Parakeet,Psittacara leucophthalmus,32cm,"Varied calls, some melodious, others screeching and grating.",,
330,African and New World Parrots,Psittacidae,Green Parakeet,Psittacara holochlorus,33cm,"Gives sharp, squeaky, and loud harsh notes.",,
330,African and New World Parrots,Psittacidae,Mitred Parakeet,Psittacara mitratus,38cm,"Gives a series of strident and harsh notes, many with a nasal quality.",,
330,African and New World Parrots,Psittacidae,Red-masked Parakeet,Psittacara erythrogenys,33cm,"Calls similar to those of Mitred, but less harsh.",,means Mitred Parakeet here
332,African and New World Parrots,Psittacidae,Lilac-crowned Parrot,Amazona finschi,33cm,Calls include a distinctive usplurred whistle a well as raucous crowing much like Red-crowned.,,means Red-crowned Parrot here
332,African and New World Parrots,Psittacidae,Red-crowned Parrot,Amazona viridigenalis,33cm,"Calls generally raucous but include a mellow, rolling ""rreeoo"". Fledged juveniles give incessant mechanical ""zuh-zuh-zuh"" series of begging calls.",,
332,African and New World Parrots,Psittacidae,Red-lored Parrot,Amazona autumnalis,33cm,"Various loud squawks; many calls high and squeaky, with a rising inflection; also more pleasant notes.",,
332,African and New World Parrots,Psittacidae,Yellow-headed Parrot,Amazona oratrix,37cm,"Calls include a resonant human-like ""aa-haa-haa"".",,
332,African and New World Parrots,Psittacidae,Orange-winged Parrot,Amazona amazonica,31cm,Calls include harsh squawks and pleasant whistled notes.,,
334,Tyrant Flycatchers,Tyrannidae,Northern Beardless-Tyrannulet,Camptostoma imberbe,11cm,"Song on breeding grounds is a descending series of loud, clear ""peer"" notes; year-round call is an innocuous, whistled ""pee-yerp"".",,
334,Tyrant Flycatchers,Tyrannidae,Tufted Flycatcher,Mitrephanes phaeocercus,13cm,"Call is a whistled ""tchurree-tchurree"". Sometimes given singly; also a soft ""peek"" like Hammond's Flycatcher.",,
334,Tyrant Flycatchers,Tyrannidae,Olive-sided Flycatcher,Contopus cooperi,19cm,"Distinctive loud, clear three-part song. Across boreal north from AK to NL ""quick-three-beers"" with slight emphasis on last note. In western U.S. ""what-peeves-you"" with clear emphasis on longer, higher middle note. The current ranges for the two described ssp. do not reflect these vocal differences. Typical call is a repeated ""pip"".",,
334,Tyrant Flycatchers,Tyrannidae,Greater Pewee,Contopus pertinax,20cm,"Song is a whistled ""ho-say ma-re-ah""; call is a repeated ""pip"".",,
336,Tyrant Flycatchers,Tyrannidae,Easter Wood-Pewee,Contopus virens,16cm,"Distinctive song is a clear, slow, plaintive ""pee-a-wee"", the second note lower; this phrase often alternates with a downslurred ""pee-yer"". Calls include a loud ""chip"" and clear, whistled ""pweee"" notes; often given together, ""chip pweee"".",,
336,Tyrant Flycatchers,Tyrannidae,Western Wood-Pewee,Contopus sordidulus,16cm,"Calls include a harsh, slightly descending ""peeer"" and clear whistles suggestive of Eastern's ""pee-yer"". Song, heard chiefly on breeding grounds, has three-note phrases mixed with the ""peeer"" note.",,
336,Tyrant Flycatchers,Tyrannidae,Cuban Pewee,Contopus caribaeus,15cm,"Call is a clear, steady ""dee-dee-dee"", also a soft ""dep"" note.",,
336,Empidonax Flycatchers,Tyrannidae,Acadian Flycatcher,Empidonax virescens,15cm,"Call is a soft ""peace"", extended in song to an emphatic ""pee-tsup"". On breeding grounds, also gives a flickerlike ""ti ti ti ti ti"".",,
338,Empidonax Flycatchers,Tyrannidae,Yellow-bellied Flycatcher,Empidonax flaviventris,14cm,"Song, a liquid ""je-bunk""; also a plaintive, rising ""per-wee"", both heard mainly on breeding grounds. Call is a sharp, whistled ""chiu"", heard in migration and on winter grounds, that sounds somewhat like Acadian.",,means Acadian Flycatcher here
338,Empidonax Flycatchers,Tyrannidae,Alder Flycatcher,Empidonax alnorum,15cm,"Best identified by voice. Call, a loud ""pip"", similar to Hammond's but lower, sharper; heard year-round. Distinctive song, a falling, wheezy ""weeb-ew"" is heard mainly on breeding grounds, but also by some spring migrants. On breeding grounds, also gives a descending ""wheer"".",,
338,Empidonax Flycatchers,Tyrannidae,Willow Flycatcher,Empidonax traillii,15cm,"Call is a liquid ""wit"". Songs, a sneezy ""fitz-bew""; on breeding grounds, also a rising ""brreet""; often sings in spring migration.",,
340,Empidonax Flycatchers,Tyrannidae,Least Flycatcher,Empidonax minimus,13cm,"Song, a dry ""che-bek"" accented on the second syllable, is usually delivered in a rapid series; call, a sharp ""whit"", is sometimes also given in a series. Most vocal empid in migration.",,
340,Empidonax Flycatchers,Tyrannidae,Hammond's Flycatcher,Empidonax hammondii,14cm,"Call note, a sharp ""peek"". Song, heard only on breeding grounds, like Dusky, but hoarser and lower pitched, especially on second note.",,means Dusky Flycatcher here
340,Empidonax Flycatchers,Tyrannidae,Gray Flycatcher,Empidonax wrightii,15cm,"Song is a vigorous ""chi-wip"" or ""chi-bit"", followed by a liquid ""whilp"", trailing off in a gurgle. Call is a loud ""wit"".",,
340,Empidonax Flycatchers,Tyrannidae,Dusky Flycatcher,Empidonax oberholseri,15cm,"Calls include a ""wit"" note, softer than Gray Flycatcher; a mournful ""deehic"", heard on breeding grounds. Song has several phrases: a clear ""sillit""; an upslurred ""ggrrreep""; another high ""sillit"", often omitted; and a clear, high ""pweet"".",,
342,Empidonax Flycatchers,Tyrannidae,Pacific-slope Flycatcher,Empidonax difficilis,14cm,"Call is a sharp ""seet""; male gives upslurred ""psee-yeet"" note. Song is a complex series of notes, including call notes.",,
342,Empidonax Flycatchers,Tyrannidae,Cordilleran Flycatcher,Empidonax occidentalis,15cm,"Separable in field only by male's call, a two-note upslurred ""see seet""; some populations in northwestern portion of breeding range give more intermediate notes. This fits with the new genetic evidence that reveals a wide swath in northwest part of range where birds have intermediate DNA, raising the issue of whether the two should be lumped. ""Seet"" note seems slightly sharper in Cordilleran than Pacific-slope Flycatcher.",,
342,Empidonax Flycatchers,Tyrannidae,Pine Flycatcher,Empidonax affinis,14cm,"Call a sharp ""whip"", a bit louder, lower pitched than Dusky. Song of northern populations (in Mexico) consists of two to four hesitant phrases.",,
342,Empidonax Flycatchers,Tyrannidae,Buff-breasted Flycatcher,Empidonax fulvifrons,13cm,"Call a soft ""pwit"". Typical song is a quick ""chicky-whew"" or ""chee-lick"".",,
344,Empidonax Flycatchers,Tyrannidae,Eastern Phoebe,Sayornis phoebe,18cm,"Distinctive song is a harsh, emphatic ""fee-be"", accented on the first syllable. Typical call note is a sharp ""chip"".",,
344,Empidonax Flycatchers,Tyrannidae,Black Phoebe,Sayornis nigricans,17m,"Four-syllable song is a rising ""pee-wee"" followed by a descending ""pee-wee"". Calls include a loud ""tseee"" and a sharper ""tsip"", slightly more plaintive than Eastern Phoebe's call.",,
344,Empidonax Flycatchers,Tyrannidae,Say's Phoebe,Sayornis saya,19cm,"Song is a fast ""pit-tse-ar"", often given in fluttering flight. Typical call is a plaintive, whistled ""pee-ee"", slightly downslurred.",,
